path,type,function_zh,reads_from,writes_to,related_artifacts,is_entrypoint,is_final_delivery,notes
README.md,顶层说明,项目入口说明，介绍交付状态、Dashboard、标准产物结构、代码结构和注意事项。,,,docs/*; outputs/summaries/final_thesis/*,False,True,
requirements.txt,依赖清单,记录 Python 运行依赖。,,,所有训练、评估、Dashboard 脚本,False,False,
.gitignore,仓库配置,控制运行产物、缓存和最终交付产物的跟踪策略。,,,outputs/; data/; configs/; docs/,False,False,
configs/default.yaml,配置文件,默认实验配置，供 core CLI、Dashboard demo runner 和批处理脚本读取。,,outputs/ui/tmp_configs/ 可基于它生成临时配置,experiments/core/*; experiments/demo/run_dashboard_job.py,False,False,
configs/generated/{dataset}/seed_{seed}/{model}/,generated 配置,按 dataset / seed / model / method / mode 保存已整理的实验配置。,configs/default.yaml,单组合运行使用临时副本,outputs/experiments/{dataset}/seed_{seed}/,False,False,
configs/cooja*.json,Cooja 配置,记录 Cooja 日志路径、复现模板和 Energest 能耗换算参数。,COOJA_LOG_ROOT 或本地 WSL 路径,outputs/experiments/cooja/,outputs/summaries/final_thesis/cooja/,False,False,本地 WSL 路径仅记录原实验来源；能耗参数用于仿真估计。
apps/dashboard.py,应用入口,正式 Streamlit Dashboard，用于浏览产物、绘制图表、查看混淆矩阵和运行单组合 demo。,outputs/experiments/; outputs/summaries/final_thesis/; outputs/figures/summaries/final_thesis/,outputs/ui/run_history.jsonl; outputs/ui/tmp_configs/,src/dashboard/*; experiments/demo/run_dashboard_job.py,True,False,
apps/legacy/ui_app.py,legacy UI,旧 UI 占位入口，仅保留历史说明，不推荐使用。,,,apps/dashboard.py,False,False,
src/core/,源码模块,配置、通用工具和通用绘图。,configs/*.yaml,各实验输出目录,src/core/config.py; src/core/utils.py; src/core/plotting.py,False,False,
src/data/,源码模块,数据预处理、特征工程和 Dataset 封装。,data/processed/{dataset}/seed_{seed}/,data/processed/{dataset}/seed_{seed}/,experiments/core/run_preprocess.py,False,False,
src/models/,源码模块,LSTM 和 MLP 模型定义。,,outputs/models/{dataset}/seed_{seed}/{model}/,src/training/trainer.py; src/evaluation/evaluator.py,False,False,
src/training/,源码模块,训练 baseline 或 retrain attacker，并写入模型和训练曲线。,data/processed/{dataset}/seed_{seed}/; data/defended/{dataset}/seed_{seed}/{method}/,outputs/models/{dataset}/seed_{seed}/{model}/; outputs/figures/experiments/,experiments/core/run_train.py; experiments/demo/run_dashboard_job.py,False,False,
src/evaluation/,源码模块,评估 baseline、防御后攻击和参数扫描。,outputs/models/; data/processed/; data/defended/,outputs/experiments/; outputs/figures/experiments/,experiments/core/run_evaluate.py; run_defense_eval.py; run_compare.py,False,False,
src/defenses/,源码模块,实现 `noise`、`ldp`、`adaptive_ldp` 和防御流水线。,data/processed/{dataset}/seed_{seed}/,data/defended/{dataset}/seed_{seed}/{method}/,experiments/core/run_defense.py,False,False,
src/edge/,源码模块,`adaptive_ldp` 使用的边缘预算分配工具。,configs/default.yaml 中 adaptive_ldp 配置,defense_report.json,src/defenses/adaptive_ldp_defense.py,False,False,
src/dashboard/,源码模块,Dashboard 路径、IO、绘图、子进程运行器和运行历史工具。,outputs/experiments/; outputs/summaries/final_thesis/,outputs/ui/run_history.jsonl; outputs/ui/tmp_configs/,apps/dashboard.py,False,False,
src/artifacts/,源码模块,集中维护标准产物路径和 summary IO，使汇总、审计和 Dashboard 指向同一套实验结果。,,,scripts/audit/*; apps/dashboard.py,False,False,
src/*.py,兼容 wrapper,旧 import 路径的兼容层，只 re-export 新分层包。,src/core/; src/data/; src/evaluation/; src/dashboard/,,历史脚本,False,False,
experiments/core/,实验入口,单步 CLI：预处理、训练、评估、防御、参数扫描和混淆矩阵收集。,configs/default.yaml; data/processed/; data/defended/; outputs/models/,outputs/experiments/; data/defended/; outputs/models/; outputs/figures/experiments/,src/*,True,False,
experiments/batches/,批处理入口,多 seed / 全矩阵复现脚本，日常交付审查不运行。,configs/default.yaml,outputs/experiments/ 等批量产物,README.md 中不作为常规命令,True,False,
experiments/real_public/imports/,真实数据导入,导入 `uci_har`、`kasteren`、`casas_hh101` 原始数据并生成 processed data。,data/raw/; 外部公开数据集,data/processed/{dataset}/seed_{seed}/,experiments/real_public/benchmarks/,True,False,
experiments/real_public/benchmarks/,真实数据 benchmark,真实数据完整 benchmark 和汇总脚本。,data/processed/{dataset}/seed_{seed}/; configs/generated/,outputs/experiments/{dataset}/; outputs/summaries/final_thesis/real/,outputs/summaries/final_thesis/parameter_scan_coverage_audit.json,True,False,
experiments/cooja/,Cooja 实验入口,读取或运行 Cooja 日志实验，生成攻击准确率、防御评估和节点级开销指标。,configs/cooja*.json; Cooja 日志; cooja/contiki-ng/,outputs/experiments/cooja/; outputs/summaries/final_thesis/cooja/,cooja_limitations.md; cooja_overhead_metrics.csv,True,False,
experiments/demo/run_dashboard_job.py,Dashboard demo,Dashboard 调用的单组合训练/评估 runner。,data/processed/; data/defended/; outputs/models/,outputs/experiments/; outputs/models/; outputs/ui/run_history.jsonl,apps/dashboard.py,True,False,
scripts/final_thesis/build_final_thesis_results.py,汇总脚本,从标准实验产物构建最终 summary 和 figure。,outputs/experiments/,outputs/summaries/final_thesis/; outputs/figures/summaries/final_thesis/,scripts/build_final_thesis_results.py,True,False,
scripts/audit/audit_experiment_symmetry.py,审计脚本,检查主矩阵、参数扫描和 Cooja 标准产物完整性。,outputs/experiments/; outputs/summaries/final_thesis/,outputs/summaries/final_thesis/final_symmetry_audit.*,scripts/audit_experiment_symmetry.py,True,False,
scripts/audit/audit_repository_bloat.py,审计脚本,按需检查仓库 tracked 文件、路径卫生和删除候选。,git ls-files; outputs/summaries/final_thesis/,按需生成仓库清理审计输出,scripts/audit_repository_bloat.py,True,False,
scripts/audit/audit_code_structure.py,审计脚本,按需检查代码职责分层、兼容 wrapper、legacy 文件和 unknown 文件。,src/; apps/; experiments/; scripts/; tools/; docs/,按需生成代码结构审计输出,scripts/audit_code_structure.py,True,False,
scripts/audit/generate_project_file_report.py,报告脚本,生成本文件功能与产物对应报告。,git ls-files; 项目目录结构,docs/PROJECT_FILE_FUNCTION_REPORT.md; outputs/summaries/final_thesis/project_file_function_report.*,scripts/generate_project_file_report.py,True,False,
data/processed/{dataset}/seed_{seed}/,数据产物,处理后的训练/验证/测试数据，供训练和评估读取。,data/raw/ 或导入脚本,sequences.npz; mlp_features.npz; meta.json,src/data/; src/training/; src/evaluation/,False,False,
data/defended/{dataset}/seed_{seed}/{method}/,数据产物,防御后的训练/验证/测试数据，供 fixed/retrain attacker 评估读取。,data/processed/{dataset}/seed_{seed}/,defended_sequences.npz; defended_mlp_features.npz,src/defenses/; src/evaluation/defense_evaluator.py,False,False,
outputs/experiments/{dataset}/seed_{seed}/{model}/baseline/,实验产物,baseline 指标、混淆矩阵、分类报告和 source manifest。,outputs/models/{dataset}/seed_{seed}/{model}/baseline/,baseline_metrics.json; baseline_confusion.json; baseline_classification_report.txt,outputs/summaries/final_thesis/final_summary.csv,False,True,
outputs/experiments/{dataset}/seed_{seed}/{model}/{method}/{mode}/,实验产物,防御实验指标、混淆矩阵、trace、defense report 和 source manifest。,data/defended/{dataset}/seed_{seed}/{method}/; outputs/models/,metrics.json; confusion.json; classification_report.txt; trace.json; defense_report.json,outputs/summaries/final_thesis/final_summary.csv,False,True,
outputs/experiments/{dataset}/seed_{seed}/{model}/{method}/{mode}/parameter_scan/,实验产物,参数扫描结果和 profile 配置。,outputs/experiments/{dataset}/seed_{seed}/{model}/{method}/{mode}/,comparison_results.csv; scan_summary.json; scan_trace.json; profile_config.json,parameter_scan_coverage_audit.json,False,True,
outputs/experiments/cooja/seed_{seed}/random_forest/{dummy_method}/{mode}/,Cooja 产物,Cooja fixed/retrain 攻击准确率和 source manifest。,Cooja 日志; outputs/experiments/cooja/eval/,metrics.json; source_manifest.json,outputs/summaries/final_thesis/cooja/,False,True,
outputs/experiments/cooja/seed_{seed}/random_forest/{method}/,Cooja 开销产物,Cooja baseline/dummy 方法的结构化节点级开销日志与解析结果。,Cooja ScriptRunner testlog; METRIC_TX/METRIC_RX/ENERGEST,overhead_metrics.json; overhead_events.csv; COOJA.testlog,cooja_overhead_metrics.csv; cooja_overhead_summary.csv,False,True,
outputs/summaries/final_thesis/,最终汇总,论文结果包根目录，包含 final summary、覆盖审计、参数扫描审计、报告和索引。,outputs/experiments/,final_summary.csv; final_summary.json; final_symmetry_audit.json; parameter_scan_coverage_audit.json,README.md; docs/REPOSITORY_DELIVERY_GUIDE.md,False,True,
outputs/summaries/final_thesis/mock/,最终汇总,mock 数据集 summary、参数扫描 summary 和 adaptive_ldp 消融 summary。,outputs/experiments/mock/,mock_summary.csv; mock_parameter_scan_*.csv; mock_adaptive_ldp_ablation_summary.csv,final_summary.csv,False,True,
outputs/summaries/final_thesis/real/,最终汇总,真实数据 summary、参数扫描 summary、dataset meta 和 adaptive_ldp 消融 summary。,outputs/experiments/uci_har/; outputs/experiments/kasteren/; outputs/experiments/casas_hh101/,real_summary.csv; real_parameter_scan_*.csv; real_adaptive_ldp_ablation_summary.csv,final_summary.csv,False,True,
outputs/summaries/final_thesis/cooja/,最终汇总,Cooja summary、per-seed 结果、traffic metrics、overhead metrics 和限制说明。,outputs/experiments/cooja/,cooja_summary.csv; cooja_per_seed.csv; cooja_traffic_metrics.csv; cooja_overhead_metrics.csv; cooja_limitations.md,final_summary.csv,False,True,
outputs/figures/summaries/final_thesis/,图像产物,最终论文图像，包括准确率、失真、参数扫描、消融和 Cooja 图。,outputs/summaries/final_thesis/,*.png,figure_table_list.md,False,True,
outputs/figures/experiments/{dataset}/seed_{seed}/{model}/{method}/{mode}/,图像产物,单组合诊断图像。,outputs/experiments/{dataset}/seed_{seed}/{model}/{method}/{mode}/,*.png,Dashboard 图表页面,False,False,
outputs/models/{dataset}/seed_{seed}/{model}/,模型产物,baseline 模型、retrain 模型和 Dashboard demo 生成模型。,src/training/trainer.py,*.pt,experiments/demo/run_dashboard_job.py; src/evaluation/evaluator.py,False,False,
git tracked files,仓库索引,"当前 git tracked 顶层目录：.gitignore, README.md, apps, configs, data, docs, experiments, outputs, requirements.txt, scripts, src, tools。",git ls-files,,,False,False,tracked 文件数：2439
